sample_order,sample_id,dataset.code_ascii_txt,id.layer_uuid_txt,id.scan_local_c,scan.mir.model.name_utf8_txt,scan.mir.model.code_any_txt,scan.mir.method.preparation_any_txt,scan.mir.license.title_ascii_txt,scan.mir.license.address_idn_url,scan.mir.doi_idf_url,N,P,K
47,d246ecb2db1de88b809710d98456b02c,KSSL.SSL,d246ecb2db1de88b809710d98456b02c,158715XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.97178,10.01707,4.54015
48,e9a496477ff32b111ac8ef1f6448dec9,KSSL.SSL,e9a496477ff32b111ac8ef1f6448dec9,247300XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.05318,0.92289,0.4578
49,4859dec60a5e518c6ae010e360aaa43f,KSSL.SSL,4859dec60a5e518c6ae010e360aaa43f,244230XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.03016,2.1068,0.0
50,ffbc4e924a3077f384897fd6871fc289,KSSL.SSL,ffbc4e924a3077f384897fd6871fc289,249727XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,2.57356,49.3044,2.10904
51,04fcaa7329b712aecb2ac794c961ad79,KSSL.SSL,04fcaa7329b712aecb2ac794c961ad79,212239XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0132,2.8997,0.5053
52,f02d4e1a64456f33400e40f783eb26d5,KSSL.SSL,f02d4e1a64456f33400e40f783eb26d5,280503XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.85314,0.98723,0.26567
53,bc9350958e979068ecea1ca1db7a83d1,KSSL.SSL,bc9350958e979068ecea1ca1db7a83d1,69230XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.16226,2.842,1.64686
54,079007847c148f48771780a23bd5ed7a,KSSL.SSL,079007847c148f48771780a23bd5ed7a,254241XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0441,42.7773,12.51361
55,4289af3d036f7da61dcf2aceb651ad36,KSSL.SSL,4289af3d036f7da61dcf2aceb651ad36,156478XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.32755,5.20023,0.24695
56,7696cf4581ce7e708547572ae05362fe,LUCAS.WOODWELL.SSL,7696cf4581ce7e708547572ae05362fe,11774,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.61,10.5,1.00516650468055
57,c114fd7deae42087498cb7edadae9168,KSSL.SSL,c114fd7deae42087498cb7edadae9168,247700XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.10388,4.60117,0.15672
58,1565f3b97057f7672246e822e1bc19bf,KSSL.SSL,1565f3b97057f7672246e822e1bc19bf,251045XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.12387,26.09425,0.17779
59,4b5527f2f6619045c4fcbd25d4e42ad4,LUCAS.WOODWELL.SSL,4b5527f2f6619045c4fcbd25d4e42ad4,11178,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.19,0.0,1.65993145429434
60,186111e6da3c326211af261df886e7d0,KSSL.SSL,186111e6da3c326211af261df886e7d0,154802XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,1.26439,124.68283,0.80504
61,7a0bcf7b6758d64ae465ec2de6bb2557,GARRETT.SSL,7a0bcf7b6758d64ae465ec2de6bb2557,S40998,Bruker Invenio-S with HTS-XT,Bruker_InvenioS_HTS.XT,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.6084/m9.figshare.20506587.v2,0.0240063300376648,0.0748644130571245,0.0891813238371841
62,2276802536cc180302810c965a4c5830,KSSL.SSL,2276802536cc180302810c965a4c5830,158897XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.01412,0.23879,0.0
63,0a28321e068f9a8574a41d937943e9f7,LUCAS.WOODWELL.SSL,0a28321e068f9a8574a41d937943e9f7,11790,Bruker Vertex 70 with with PikeAutoDiff accessory,Bruker_Vertex_70.PikeAutoDiff,,CC-BY,https://creativecommons.org/licenses/by/4.0/,https://doi.org/10.3390/s20236729,0.12,0.0,3.52805770116118
64,de66f37dab67300a7f7ab742079357ec,KSSL.SSL,de66f37dab67300a7f7ab742079357ec,243618XN,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XN: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.15628,1.09279,0.42156
65,6f24783cbf17d29281c411994b2b8667,KSSL.SSL,6f24783cbf17d29281c411994b2b8667,252665XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.02018,10.8351,1.76538
66,f917123e0bedd68406229288befd3fb1,KSSL.SSL,f917123e0bedd68406229288befd3fb1,175128XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.0,1.57498,1.36008
67,64099e20e95e43ef712465b5b12930f1,KSSL.SSL,64099e20e95e43ef712465b5b12930f1,160484XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.08699,1.57458,3.8009
68,b126dd4e0d98b6b6fb3513d7fd0b0e54,KSSL.SSL,b126dd4e0d98b6b6fb3513d7fd0b0e54,249870XS,Bruker Vertex 70 with HTS-XT accessory,Bruker_Vertex_70.HTS.XT,XS: finely ground <80 mesh,CC-BY,https://ncsslabdatamart.sc.egov.usda.gov/datause.aspx,https://doi.org/10.2136/sssaj2019.06.0205,0.05034,28.69688,0.0686
