target,budget,repeat,fold,model,preprocessing,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct
P,240,2,1,PLS (5 komponen),SNV,15.503398394525233,31.298847922472607,-0.04670423861147621,0.529571568929831,32.72474764495184,4.357252003742171
P,240,2,2,PLS (10 komponen),SG derivative,12.827544810735988,19.99741493015366,0.12783690516235768,1.1013537288157258,23.830260008935113,16.083941498516317
P,240,2,3,PLS (5 komponen),SNV,10.202412391115743,22.933842305993608,-0.05384205088154759,0.38952162401785423,22.64566750722236,-1.272538328487516
P,240,2,4,PLS (10 komponen),SG derivative,17.47090903233513,35.20745941597178,-1.012213927557032,0.4513779966977875,26.489067150432362,-32.91317212504072
P,240,2,5,PLS (10 komponen),SNV,12.425525731646308,19.329502570741447,-0.0008175394273417513,1.272139177405473,23.442987719239735,17.546761521025488
K,240,1,1,PLS (5 komponen),SG derivative,0.9542595971218284,1.9504238836264212,0.0503492986840115,0.4505050649013044,2.1151042945807097,7.785923908160479
K,240,1,2,PLS (10 komponen),SG derivative,0.687585036714974,1.1142370638179693,0.47612001972514295,0.7534393059259686,1.6445064057924157,32.24489367184513
K,240,1,3,PLS (5 komponen),SG derivative,0.6822150977027798,0.9974052599675434,0.27928585186289967,1.2271942500482005,1.3319243619640457,25.115472886404973
K,240,1,4,PLS (5 komponen),SG derivative,0.8652468222650364,2.193373478856495,0.11420061178047425,0.5547595089066183,2.4293565336210663,9.713809047732804
K,240,1,5,PLS (5 komponen),SNV,0.8428066946799389,1.2542052978933094,0.2214331306635008,1.2482884601346826,1.578418199127671,20.540367655006836
K,240,2,1,PLS (10 komponen),SG derivative,0.6504609849302941,0.9269747442081782,0.6158516881652116,1.0937016857087158,1.600609589226864,42.08614327645437
K,240,2,2,PLS (5 komponen),SG derivative,0.6327302457016741,0.9505106674604175,0.36493802591713853,0.7688972096995796,1.261066498377064,24.626443674169288
K,240,2,3,PLS (10 komponen),SG derivative,0.7421965229224096,1.171944637747849,0.20537484258371141,1.366073488826745,1.456833668538119,19.555357412637633
K,240,2,4,PLS (10 komponen),SG derivative,0.7890583186367932,2.180498692633656,0.08196481955750046,0.3324457393388539,2.337051910678646,6.698747996553035
K,240,2,5,PLS (10 komponen),SNV,1.043553059151473,1.9507117034520343,0.13336007285804985,0.945629407490338,2.3722646782623764,17.770064979390032
N,300,1,1,PLS (10 komponen),SNV,0.14148355868863466,0.2889580376938554,0.7869551191523666,1.0123615260355865,0.6680419615868559,56.745525833816
N,300,1,2,PLS (10 komponen),SNV,0.11449402079067325,0.19088830555195846,0.9355208936471503,2.5924846394809586,0.8291878893090916,76.97888403664297
N,300,1,3,PLS (10 komponen),SNV,0.15836942428096962,0.2626131535752433,0.8925770475150556,1.4214158541493163,0.881276691103859,70.20082838611079
