family,target,budget,repeat,fold,model,preprocessing,fit_seconds,model_bytes,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct,best_epoch,validation_loss,parameters,device
PLS–Cubist,K,300,1,5,PLS–Cubist,SNV + latent scores,0.04550287500023842,579275,0.6026684535669038,0.8979587393968665,0.36150576953733604,1.6066697514756272,1.2353893522394117,27.313705774691908,,,,
PLS–Extra Trees,N,300,1,1,PLS–Extra Trees,SNV + latent scores,0.10931925001204945,3608787,0.1406094554505414,0.28660575804713395,0.7904096093393114,1.020670352170286,0.6680419615868559,57.09764138672736,,,,
PLS–Extra Trees,N,300,1,2,PLS–Extra Trees,SNV + latent scores,0.10599358400213532,3619308,0.18543478180632794,0.3610957951002206,0.7692693836037336,1.3704812039216618,0.8291878893090916,56.45187300056948,,,,
PLS–Extra Trees,N,300,1,3,PLS–Extra Trees,SNV + latent scores,0.11120683298213407,3608787,0.1518763103930631,0.27530398524199295,0.8819437099750497,1.3558921047651515,0.881276691103859,68.76077762851574,,,,
PLS–Extra Trees,N,300,1,4,PLS–Extra Trees,SNV + latent scores,0.10264287499012426,3601155,0.0939682141743541,0.13855938044576852,0.9196076300923769,2.454489179338606,0.5213985372112638,73.42543744237123,,,,
PLS–Extra Trees,N,300,1,5,PLS–Extra Trees,SNV + latent scores,0.11691254199831747,3608940,0.11692129517383504,0.18609028197488886,0.9103321623160988,2.205045291163411,0.6828521291514487,72.7480849761521,,,,
PLS–Extra Trees,P,300,1,1,PLS–Extra Trees,SNV + latent scores,0.10968674998730421,3614124,13.088938658549706,21.506420915782645,-0.14271824431069735,0.9134301531301454,22.526477636302914,4.528256645310496,,,,
PLS–Extra Trees,P,300,1,2,PLS–Extra Trees,SNV + latent scores,0.11165062501095235,3617868,11.344127972023937,21.253190660149656,-0.02509446773776758,0.6485370935783504,23.12186962055922,8.081867907204163,,,,
PLS–Extra Trees,P,300,1,3,PLS–Extra Trees,SNV + latent scores,0.10989720799261704,3614844,11.796941675855802,23.47976911640675,-0.10351293867223421,0.6903931814505319,24.563418800971696,4.4116403068536965,,,,
PLS–Extra Trees,P,300,1,4,PLS–Extra Trees,SNV + latent scores,0.11013629101216793,3619884,12.72233805256826,24.325289938195397,-0.11542982438034066,0.752845908374755,25.28724986217221,3.8041302601902625,,,,
PLS–Extra Trees,P,300,1,5,PLS–Extra Trees,SNV + latent scores,0.11254433300928213,3606636,10.768225288754506,24.17414925544615,0.10183784373322735,0.34870606658891606,26.082682169643615,7.317241769018355,,,,
PLS–Extra Trees,K,300,1,1,PLS–Extra Trees,SNV + latent scores,0.12292808399070054,3619740,0.5083404012178657,0.7135349008917538,0.3454544696039411,1.2946000244181302,0.9641801044924795,25.995683009105356,,,,
